Series,EventName,Date,Duration,Speaker
Faculty Workshop,Promotion and Tenure Process Workshop,2026-04-10,60,Dr. Gondré Lewis
Dean's Dynamic Duo,AI in Clinical Radiology,2026-03-14,60,R. Lin & T. Tu
Dean's Dynamic Duo,Skin Hormones & Metabolism,2025-10-05,60,S. Andrisse
SWAT Write-A-Thon,Grant Writing Intensive,2026-05-12,120,OSP
APT Process,Dossier Preparation Seminar,2026-06-20,90,Provost Office
All of Us,Precision Medicine Training,2026-02-18,60,C. Parry
Leadership,Chairs Leadership Retreat,2026-07-15,180,Dean's Office
